"vars","means","quant_25","quant_975"
"black",1.03138238704145,1.01847776022715,1.04445519068579
"poverty",1.08142385432536,1.05756821451435,1.10589133527973
"educBachPlus",1.02491490532529,1.0121454624626,1.03790383238624
"male",0.918490535354263,0.896336915631719,0.941812917746548
"secpercvac",0.916188223160935,0.900553980479364,0.931593696125669
"age1824.perc",1.00458828587992,0.984205144094842,1.0254098945191
"gov_entity",4.16880121953264,2.66306000602207,6.53766234499215
"black_b",1.00552127017414,0.991268055907694,1.01998807159857
"poverty_b",1.10136969754904,1.07362194533381,1.13010130324202
"educBachPlus_b",1.04345651380888,1.0275541798778,1.05971694142967
"male_b",0.953974050083482,0.919578520570923,0.991311093890485
"secpercvac_b",0.940940371154557,0.908861466628746,0.970290589834928
"age1824.perc_b",0.986144548302913,0.963265650342696,1.00957008971159
"gov_entity_b",3.80816737824947,2.23892431952043,6.4877989994066
"black_w",1.03969845636322,1.02730081228735,1.05224837756961
"poverty_w",1.07762089441542,1.05487727536657,1.10091749062745
"educBachPlus_w",1.02671031368005,1.0142332670565,1.03940465224022
"male_w",0.942816836824044,0.918065216247931,0.969615467237542
"secpercvac_w",0.91271671024074,0.896732167452546,0.928315294567718
"age1824.perc_w",1.00491930178606,0.985488994758541,1.02477980752942
"gov_entity_w",4.63700122313447,3.0131942348007,7.15727979843835
